posX,posY,posZ,width,height,length,final
1.00,-2.00,2.00,1.00,0.30,0.60,false
2.67,-1.05,2.29,1.00,0.30,0.60,false
4.33,-0.31,2.09,1.00,0.30,0.60,false
6.00,0.64,1.68,1.00,0.30,0.60,false
7.67,1.52,1.84,1.00,0.30,0.60,false
9.33,2.14,1.78,1.00,0.30,0.60,false
11.00,2.84,2.29,1.00,0.30,0.60,false
12.67,3.43,2.71,1.00,0.30,0.60,false
14.33,3.95,2.51,1.00,0.30,0.60,false
16.00,4.64,2.40,1.00,0.30,0.60,false
17.67,5.02,2.19,1.00,0.30,0.60,false
19.33,5.52,1.97,1.00,0.30,0.60,false
21.00,6.19,2.33,1.00,0.30,0.60,false
22.67,7.10,2.85,1.00,0.30,0.60,false
24.33,7.88,2.85,1.00,0.30,0.60,false
26.00,8.44,2.90,1.00,0.30,0.60,true
