posX,posY,posZ,width,height,length,final
3.000000,-2.876189,-0.300000,0.936555,0.3,0.532669,false
3.979104,-0.716077,-0.244301,0.847838,0.3,0.418417,false
5.201198,-1.562560,-0.248657,0.968848,0.3,0.467767,false
6.331760,-0.695260,-0.150247,0.881517,0.3,0.688640,false
7.379032,0.187209,-0.063335,0.950444,0.3,0.523072,false
8.594863,0.177181,-0.139160,0.847987,0.3,0.421303,false
9.713009,1.824477,-0.039754,0.924067,0.3,0.639490,false
10.824133,2.373998,0.038054,0.803247,0.3,0.763199,false
11.838951,2.308964,-0.032166,0.976935,0.3,0.560263,false
13.024042,2.234412,0.029729,0.877726,0.3,0.504217,false
14.159153,3.762502,0.011989,0.967067,0.3,0.604686,false
15.232321,4.578638,0.001781,0.889407,0.3,0.418437,false
16.158804,5.049009,-0.091353,0.998686,0.3,0.510025,false
17.433424,4.323121,-0.517635,0.987139,0.3,0.764731,false
18.630734,4.636456,-0.010664,0.964626,0.3,0.619749,false
19.540500,6.702955,-0.023298,0.839521,0.3,0.416054,false
20.704030,6.411239,-0.042562,0.954711,0.3,0.455078,false
21.752698,8.005611,-0.051033,0.945938,0.3,0.429108,false
22.804164,7.292954,-0.102595,0.997357,0.3,0.687189,false
23.842245,9.008561,-0.082269,0.956766,0.3,0.519813,false
24.807664,8.107076,-0.649069,0.915372,0.3,0.501862,false
25.925801,9.581852,-0.566450,0.969298,0.3,0.667100,false
26.867603,9.835634,-0.534332,0.890469,0.3,0.728450,true
