posX,posY,posZ,width,height,length,final
3.000000,-2.167066,-0.300000,0.884835,0.3,0.658548,false
3.849841,-1.658508,-0.384585,0.885815,0.3,0.730867,false
4.712244,-1.676929,-0.418369,0.982106,0.3,0.500664,false
5.788902,-1.321548,-0.329083,0.803149,0.3,0.629551,false
6.734189,-0.865037,-0.682002,0.963649,0.3,0.435996,false
7.874345,0.567066,-0.603462,0.956821,0.3,0.593075,false
8.680009,1.543037,-0.626102,0.800733,0.3,0.547795,false
9.632563,2.241529,-0.557711,0.901129,0.3,0.502555,false
10.519190,1.867413,-0.502091,0.900858,0.3,0.712893,false
11.595460,2.971954,0.063224,0.965124,0.3,0.570037,false
12.387322,1.870963,-0.015115,0.896166,0.3,0.795830,false
13.164004,2.967092,-0.507812,0.876357,0.3,0.784376,false
14.078517,3.575440,-0.515867,0.878517,0.3,0.659899,false
15.005262,3.329798,-0.514443,0.824265,0.3,0.771115,false
16.040431,5.712350,-0.445872,0.936609,0.3,0.783638,false
16.820344,5.729355,-0.585229,0.845247,0.3,0.629542,false
17.837468,5.597503,-0.528094,0.897417,0.3,0.643600,false
18.928727,5.808070,-0.502377,0.800631,0.3,0.712614,false
19.952725,7.196570,-0.538885,0.830420,0.3,0.722230,false
20.815388,6.586621,-0.456871,0.844988,0.3,0.432348,false
21.733786,6.677803,-0.507346,0.871898,0.3,0.713202,false
22.553550,7.138178,-0.034871,0.860226,0.3,0.457480,false
23.468029,8.301011,0.430948,0.929822,0.3,0.729463,false
24.595164,9.922037,0.804222,0.889974,0.3,0.591555,false
25.736282,8.734249,0.738069,0.987193,0.3,0.707332,false
26.794134,10.000000,0.639756,0.987822,0.3,0.432734,true
