posX,posY,posZ,width,height,length,final
3.000000,-2.697249,-0.300000,0.914836,0.3,0.602589,false
4.153521,-1.084446,-0.294791,0.888954,0.3,0.538497,false
5.228314,-0.213694,-0.299271,0.838179,0.3,0.571360,false
6.415879,-1.232846,-0.342243,0.972818,0.3,0.447081,false
7.629382,0.283544,-0.361179,0.889351,0.3,0.508752,false
8.908068,1.431243,-0.460299,0.963147,0.3,0.450243,false
10.058140,0.556919,0.075171,0.997716,0.3,0.645125,false
11.146622,2.374017,0.014511,0.937703,0.3,0.525813,false
12.443011,2.454132,0.020081,0.909468,0.3,0.719620,false
13.749907,4.110957,-0.005606,0.849379,0.3,0.705436,false
15.027823,4.149379,-0.091009,0.871558,0.3,0.470604,false
16.312068,3.294042,-0.018863,0.890038,0.3,0.451860,false
17.485067,4.610587,0.475951,0.998034,0.3,0.707982,false
18.663418,5.630473,0.883085,0.863710,0.3,0.433830,false
19.736786,5.511339,0.756564,0.821595,0.3,0.686873,false
20.817460,5.597013,0.688530,0.868505,0.3,0.458885,false
21.934331,7.479479,0.173686,0.995233,0.3,0.534925,false
23.045401,7.596238,0.254098,0.952919,0.3,0.549058,false
24.264465,8.100229,0.292002,0.836384,0.3,0.615089,false
25.403675,9.021270,0.707789,0.909993,0.3,0.784422,false
26.409518,8.687771,0.647008,0.869898,0.3,0.644433,false
27.690330,10.000000,0.799326,0.998022,0.3,0.601347,true
