posX,posY,posZ,width,height,length,final
1.00,-2.00,2.00,1.00,0.30,0.60,false
2.79,-1.43,2.00,1.00,0.30,0.60,false
4.57,-1.11,1.31,1.00,0.30,0.60,false
6.36,-0.22,1.10,1.00,0.30,0.60,false
8.14,0.15,1.10,1.00,0.30,0.60,false
9.93,0.96,1.10,1.00,0.30,0.60,false
11.71,1.49,1.44,1.00,0.30,0.60,false
13.50,1.85,2.06,1.00,0.30,0.60,false
15.29,2.69,2.10,1.00,0.30,0.60,false
17.07,3.38,2.29,1.00,0.30,0.60,false
18.86,4.22,1.66,1.00,0.30,0.60,false
20.64,4.56,1.64,1.00,0.30,0.60,false
22.43,4.96,1.22,1.00,0.30,0.60,false
24.21,5.46,1.32,1.00,0.30,0.60,false
26.00,6.07,1.34,1.00,0.30,0.60,true
