posX,posY,posZ,width,height,length,final
3.000000,-2.756946,-0.300000,0.887048,0.3,0.527895,false
4.336345,-1.535286,-0.273484,0.831428,0.3,0.401557,false
5.470513,-1.617408,-0.320470,0.969880,0.3,0.540281,false
6.531851,0.421307,-0.231295,0.958974,0.3,0.450940,false
7.737443,0.346488,-0.248589,0.891572,0.3,0.475913,false
9.139287,1.936205,-0.296822,0.956718,0.3,0.545391,false
10.567599,1.905895,-0.230748,0.943937,0.3,0.419639,false
11.860667,2.742117,-0.187049,0.820196,0.3,0.695001,false
13.030700,2.702172,-0.109667,0.872668,0.3,0.746770,false
14.446934,3.205431,-0.028461,0.865326,0.3,0.696967,false
15.802911,4.913511,-0.010483,0.915087,0.3,0.752315,false
17.122923,5.614588,0.015340,0.822938,0.3,0.774295,false
18.511703,5.762315,0.029226,0.847215,0.3,0.667402,false
19.573672,7.194505,0.113169,0.968398,0.3,0.714250,false
20.809455,6.607514,0.199846,0.877404,0.3,0.504407,false
22.027515,6.783313,0.262974,0.895842,0.3,0.714173,false
23.294598,7.879748,0.298662,0.902668,0.3,0.738067,false
24.591168,8.661901,0.308065,0.813057,0.3,0.645121,false
25.717497,9.592431,0.252939,0.826955,0.3,0.446707,false
27.101939,10.000000,0.275865,0.843954,0.3,0.584707,true
