posX,posY,posZ,width,height,length,final
3.000000,-2.920802,-0.300000,0.840617,0.3,0.461297,false
4.057946,-1.290141,-0.218109,0.917924,0.3,0.641712,false
5.041606,-0.441788,0.369493,0.852351,0.3,0.444770,false
5.948214,0.418999,0.807022,0.881522,0.3,0.585956,false
7.126803,0.432807,0.810292,0.928229,0.3,0.579416,false
8.031151,0.625973,0.854532,0.856241,0.3,0.490937,false
9.142661,2.038939,0.759670,0.902200,0.3,0.468807,false
10.368264,1.719771,0.698825,0.899641,0.3,0.466965,false
11.353671,1.320923,0.617436,0.844398,0.3,0.555042,false
12.353995,2.427103,0.593233,0.925611,0.3,0.732804,false
13.535243,3.876184,0.529600,0.876606,0.3,0.676732,false
14.439174,4.145048,0.444201,0.874608,0.3,0.640743,false
15.608312,5.016527,0.427907,0.867174,0.3,0.743428,false
16.790762,3.905532,0.361538,0.874929,0.3,0.691562,false
17.876917,4.753762,0.426104,0.936659,0.3,0.786867,false
18.843626,5.656127,0.700576,0.855580,0.3,0.798848,false
20.038148,6.172481,0.747298,0.983345,0.3,0.478591,false
21.161758,7.028007,0.694698,0.825197,0.3,0.627986,false
22.261589,8.350384,0.734553,0.872278,0.3,0.565075,false
23.289420,7.270117,0.702150,0.816649,0.3,0.531523,false
24.210146,8.620879,0.614969,0.902779,0.3,0.662728,false
25.061492,8.500854,0.855079,0.925317,0.3,0.489843,false
26.267517,9.196110,0.717449,0.862684,0.3,0.765102,false
27.292254,9.574446,0.227390,0.812242,0.3,0.457410,true
