posX,posY,posZ,width,height,length,final
1.00,-1.97,2.36,1.00,0.30,0.60,false
2.74,-0.54,1.90,1.00,0.30,0.60,false
4.32,0.71,1.45,1.00,0.30,0.60,false
5.46,2.06,0.88,1.00,0.30,0.60,false
7.17,3.05,1.55,1.00,0.30,0.60,false
8.30,3.74,0.91,1.00,0.30,0.60,false
9.84,4.14,0.69,1.00,0.30,0.60,false
11.86,4.23,1.34,1.00,0.30,0.60,false
13.19,4.22,1.67,1.00,0.30,0.60,false
14.78,4.33,1.90,1.00,0.30,0.60,false
16.11,3.85,1.68,1.00,0.30,0.60,false
17.46,3.71,1.90,1.00,0.30,0.60,false
19.37,3.01,1.82,1.00,0.30,0.60,false
21.05,2.99,1.17,1.00,0.30,0.60,false
22.35,2.52,1.81,1.00,0.30,0.60,false
24.33,2.45,1.90,1.00,0.30,0.60,false
25.70,2.78,1.40,1.00,0.30,0.60,false
27.00,2.81,1.32,1.00,0.30,0.60,true
